text,label,,
RT @uberdogfound: Please RT - Food needed for shelter in NC in area that was hit hard by tornado. Please contact us at…,1,,
Please RT - Food needed for shelter in NC in area that was hit hard by tornado.  Please contact us at info@uberdogfoundation.org to help!,1,,
‚ô°its raining and tornado warnings....about to be in a coma from eating all this food in a few!!!‚òª‚òª,1,,
Lmao #damn RT @LuCeCaNNoNn: If I don't get any food I hope the tornado blow all yall food out yall mouth #SoIDC,1,,
Saved by the tornado warning....I'm just ready to eat this good food,0,,
uh...no more food please Mr. @mlp_spike ..my tummy already hurts from too much candy *his face is a bit green*,1,,
We'll be accepting donations of food to be distributed to tornado victims in the eastern part of the state at today's @wsdashbaseball game!,0,,
"Go, See, Do: At the game, Lowes Foods will be accepting donations of food to be distributed to tornado victims i... http://bit.ly/gSosPk",0,,
"Tornado steals fast food: 
									
									Took his burger, fries AND drink? Oh, no, it didn't!
									Tags... http://bit.ly/h4FnGU",1,,
Raleigh neighbors reach out to tornado victims: A Raleigh neighborhood put together a spontaneous food and cloth... http://bit.ly/dYnaOc,0,,
"Wow! Crazy day getting food for this week. Tornado warnings, taking shelter in the back of the store with others,... http://fb.me/zJVBpmfg",0,,
"@crystalchappell HELP! STL TORNADO VICTIMS call United Way 18664447669. Many have lost everything! NEED: Shelter, Food, Water, Clothes",0,,
My car is a mess. Both my rooms are tornado zones. My food is gone. And my bank account is empty. Quadfest was (cont) http://tl.gd/a300df,1,,
RT @RalDowntowner Food+10 bands TirNaNog tornado victim benefit. Can't think of better way 2 spend tomorrow night. http://bit.ly/hbssGf  #fb,0,,
Food + 10 local bands at Tir Na Nog's tornado victim benefit. I can't think of a better way to spend tomorrow night. http://bit.ly/hbssGf,0,,
food coma. tornado. i just want to sleep.,1,,
"this dude in my first period was talking about him & his ""brothers"" was robbing FOOD LION when the power went out during the tornado. . .",1,,
"So after these long tests, stuck in d building cuz of tornado and that also means no food from aunt! Just like yesterday! Fuckn tornado!!!",1,,
This is at UNT RT @TheHonorableJ In basement of Chilton Hall due to tornado siren. Lots of people. No food.,1,,
In basement of Chilton Hall due to tornado siren. Lots of people. No food.,1,,
"TV News for 99.99% of you not in jail: Hoped to fill 2 tractor trailers for tornado survivors. We filled 4! Food, supplies & hope on the way",1,,
"HELP! STL Tornado Victims: PLS Call United Way @ 18664447669 Many lost 'everthing'! Need shelter, food, water, clothing.",1,,
Don't forget we are taking pet food donations through the end of this week for tornado/storm victims! Thx to everyone that has given so far!,0,,
Video: Aftermath of St. Louis Tornado http://sy.ly/VQ2sC #diet #workout #sugar #obesity #fit #fitness #carbs #food #nutrition #health,1,,
Tornado Steals Fast Food [Video] http://2leep.com/news/173103/,1,,
So blessed by the Baptist Men and @RedCross continuing to serve food in our community and clean up tornado debris even on Easter Sunday.,0,,
Err:509,1,,
"Day 321: Fast Food Tornado ‚Äì I try not to eat out a lot, but you wouldn‚Äôt know it by looking at the floor on the p http://twitpic.com/4p5nq6",1,,
Last nite stl had a tornado storm scary as hell now I'm adt home with no lites praying everything up and running b4 my food spoils sadface,1,,
"Easter weekend = lots of good food, egg dyeing, & apparently tornado warnings also!",0,,
RT @vocalbeing TSA: ATTENTION PLZ IF U ARE W/OUT FOOD OR WATER DUE TO THE TORNADO THE RESIDENTS OF BERKELEY CAN (cont) http://tl.gd/a1lakj,1,,
Tornado Victim Food/Clothes Drive http://nblo.gs/h1irJ,0,,
Tornado Victim Food/Clothes Drive http://wp.me/pj8WW-9l,0,,
Is a waterbaby. Red Cross disaster relief truck came with hot meals where we were cleaning.. tears flowed.#tornado seeing kids go for food,0,,
"*Breaking* St. Louis airport damaged and closed by tornado: Filed under: Business, North America, United States,... http://bit.ly/gra3tv",1,,
@HELENSStudio Morning Helen. Thanks for spreading word about @AuntKerry 's pet food drive for tornado victims.  http://is.gd/xWaXtR  #ILM,0,,
Today #IFFS providing #food @ Four Oaks NC Dollar General Store on Wellons St starts 3pm #tornado,1,,
We all know n StL a Tornado touchdown n North Co. Tonight and there r many families without homes now. I'm buying food baskets tomorrow cont,0,,
It's a tornado warning going off n this drunk came in to order food! H wtf is wrong with ppl! ?,1,,
I'm not leaving towers for food. Ugh I don't want to it's wet outside. N in cape ah tornado my pop up outta nowhere ugh! #icant,1,,
"@Jill1228 @bendanielsss If a tornado takes my food, I'm not gonna cry, unless it's tempura sushi or teriyaki wings :p",1,,
@christian1021 We got locked down in the stockroom of Target during our Tornado emergency last week.  No food. :(,1,,
@AlexaJaySays @taywalraven #uknowurfat when a tornado is about to hit the mall nsted of taking cover u went to foodcourt & got food lol,1,,
Sittin on the porch in Jennings mad cuz I'm hungry as fuck..this tornado messin wit my food..,1,,
Grinding with @madison_broers in the food court in the tornado.. Best time of my life! #swagg #thistornadoisafreakinghugedeal ÓÄ¢Óå¨Óå´Óå™Óå≠Óå®,0,,
Love when the mall gets evacuated to the food court cause of a tornado,0,,
Chinese food during a Tornado Warning #Winning,0,,
Bacon and pancakes.. Best tornado food ever!! #yummy ÓÅóÓÅó,0,,
No fOod in this house as usual and now there is a thunderstorm/tornado warning!fml,1,,
RT @tanyariveraon2: Food 2 Families Tornado Relief In Full Swing! Fill Up The Truck At The Lowes Foods On New Garden Road In GSO.,1,,
@GeminiTwin92 is the only bitch I know that's thinking about food during a tornado smh lol,1,,
fuck a tornado .. where the FUCK is my food ? :O,1,,
"fuck a tornado .. i'm hungry . where the food at , bro ?",1,,
"Local news: Church has food available for tornado victims: A New Bern church has food aplenty ‚Äî 14,000 pounds ‚Äî ... http://bit.ly/guNxUV",0,,
There's another tornado watch in the food ol M-Town! In other news water is wet.,1,,
If ima go get food I better do it befre that tornado hit,1,,
Tonight you can help people right in your community. Free music + food @ Tir Na Nog - Benefit for Tornado Victims: http://www.facebook.com/event.php?eid=167236456668575&index=1¬†‚Ä¶,0,,
"Harmony - harmonious laws and notes which are in many ways: music, body movements, food, wine, sex, love, etc. In a head - a tornado,",0,,
Spinnin like a tornado..then i eat it up like its gourmet food. She know she can get it. ,40659.2826388889,1,
Err:509,0,,
"Since there's a ""tornado"" coming I'm stocking up on food lol",0,,
@MarylandMudflap it's not their fault. The tornados would follow them where ever they went. Tornados feed on the poor. #tornadofood,1,,
Got thrown out of the campus dining hall w/o food b/c of a tornado watch. I guess tonight's dinner will be stale poptarts.,0,,
Whoooo im in my tent with some food and listening to the tornado radio man. Life's good. NAHT :(¬†,0,,
"Not so sure this tornado is really worth food from the school Deli.
#shouldistay.shouldigo",1,,
"Just got the text !out a tornado warning and to take shelter, 1st thing I did was warm m food and charge my phone in case I lose power #sad",1,,
Very good RT @wxbrad: We're filling 2 tractor trailers full of food and furniture for tornado survivors! TV News CAN be a good thing.,0,,
OMG so much food.  So much wine.  And now we are under a tornado warning.,0,,
Either the winds getting up outside or I've got a tornado in my pants :-) given that the Harpers food was spicy I'll go with the latter :-D,0,,
Anybody wanna take me to get some food...when this tornado shit over,1,,
Dis nigga got famous cuz da damn tornado took his damn food,1,,
RT @ReddingWriting: We're filling 2 tractor trailers full of food and furniture for tornado survivors! TV News CAN be a good thing.,0,,
We're filling 2 tractor trailers full of food and furniture for tornado survivors! TV News CAN be a good thing.,0,,
Food 2 Families  Tornado Relief In Full Swing! Fill Up The Truck At The Lowes Foods On New Garden Road In GSO.,0,,
RT @invitecottage: Where is best place in #Raleigh to take food AND clothing for #tornado victims? (Downtown location?),1,,
Where is best place in #Raleigh to take food AND clothing for #tornado victims?,1,,
RT @traceymccain Thanks for donating to Food 2 Families Tornado Relief Drive. Keep the momentum going. @LowesFoods on New Garden @digtriad,0,,
Thank you for donating to our Food 2 Families Tornado Relief Drive.  Let's keep the momentum going. @lowesfoods New Garden Rd. @digtriad,0,,
*munches potato chips* but Mr. @mlp_spike food is sooo good Ms. @mlp_twilight,0,,
@digtriad & @LowesFoods collecting food/water/furniture/$ for tornado relief. 5a-7p Fri & 7a-7p Sat > #GSO Lowes on New Garden - Pls RT,1,,
FreebieQueen Update: Stop By Tornado Relief Donation Truck Today http://bit.ly/hEDJ4Q #food #free #coupons,0,,
Stop By Tornado Relief Donation Truck Today: Examples of non-perishable food needed in the case of a natural dis... http://bit.ly/g2HNyC,0,,
"RT @ifindgreatdeals: Live in Raleigh? Go to Strickland Rd @LowesFoods to donate items (toiletries, food, cash) to the Tornado victims.",0,,
"Live in Raleigh, NC, head to the Strickland Rd @LowesFoods to donate items (they need toiletries, food, cash) to the Tornado victims.",0,,
Sandra Hughes is live at the Lowes Food Store on New Garden Road helping us collect items for tornado victims.  We'd love your donation.,0,,
"Do you like 78 MPH winds? Come to Carbondale, go to University Mall, spend $2, and try the tornado simulator near the food court. #party",1,,
"*after @mlp_Tornado and @mlp_Sweetie get food* @mlp_Rarity! If it's okay with you, I'm gonna take off.. that lighting magic wore me out.",1,,
Food drive for tornado victims Saturday in Chatham: By John Crane The Community Center at Chatham is teaming up ... http://bit.ly/fK4pxm,0,,
My girl Cheryl and new Whole Foods North Raleigh donated some serious deliciousness to help feed some tornado victims tonight... THANK YOU!,0,,
HUGE thanks to @WFM_Cary who has loaded up my car to capacity with donated food for serving to tornado victims. Unexpected and moved.,0,,
"Riding through her I'm glad the tornado ain't hit us . People ain't got power , shelter , food etc .",0,,
I am amazed @ t tornado(boys) that sweeps thru t house leaving a mess & no food. Thx u God for a bigger home comin soon to have more of them,0,,
"Loving these food stories: The James Weird Awards: Goldfish Racing, Bungled Burglars, and a Burger-Snatching Tornado http://shar.es/Hq8gp",0,,
"@LaurenBiebsGaga they we're like ""don't u think born this way sounds like sum other song"" she made them food and they said it wasn't nice",0,,
I feel really good! Thank you to every one who came out to give money or food. We raised over a thousand dollars for the tornado victims!,0,,
This video is from fred's food club where I live RT @jimmykimmel world's calmest man vs. tornado http://www.youtube.com/watch?v=aijg8hWU4fM,1,,
RT @digtriad We joined with @LowesFoods to collect food/water/furniture/$ for tornado relief. 5a-7p Fri & 7a-7p Sat #GSO Lowes on New Garden,1,,
"If you're coming to the Idol party tonight at the auditorium/rec center, be sure to bring canned food for tornado relief. See you tonight.",0,,
*giggles as a cupcake lands on his head* it can rain food!? this is awesome!,0,,
Hey Raleighwood... anyone have a proper channel for tornado relief funds? Food/bar/band community wants to help but needs the avenue.,1,,
"Just to let u all know: We are loading up MORE donated ice, water and food from FOOD LION for tornado victims! Way to go Food Lion!",0,,
Hey friends! I'm taking part in WSET's Tornado Relief fund. Stop by Food Lion on Westover Dr. & bring a donation :),0,,
We joined with @LowesFoods to collect food/water/furniture/$ for tornado relief. 5a-7p Fri & 7a-7p Sat > #GSO Lowes on New Garden - Pls RT,0,,
"Many are w/out food due to the Tornado plz join us in serving the city, by bringing canned goods/clothing to the Boys Club Sat. April 23 @12",0,,
@1deringScholar lmao nawl its considered a #realmeal when you stuck in a tornado with no food tehehe,1,,
@nate_williams Do you know of some tornado victims needing food? @hopecaferaleigh wants to help tonight!!!,1,,
@Ethantp @PastorTyler @V21church Anyone know of some tornado victims needing food? @hopecaferaleigh wants to help tonight!!!,1,,
So after the tornado hit in raleigh....niggas really did go rob shit out of food lion and rent-a-center #tragic lmao,1,,
