text,label,,,
They make Hurricane Sandy sound like a big deal. I gotta run to the supermarket now to stock up on food. #nojoke,1,,,
The kitchen was out of mad food tonight so I told the customers that hurricane sandy delayed our delivery truck to save my ass.,1,,,
Hundreds if not thousands of people lost their homes and loved ones to hurricane sandy. Kids at southside still complain about their food.,1,,,
"“@_KingDing_ALing: My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.” ",1,,,
#YouGainMajorPointsIf you go to dollarama while hurricane sandy's having a fit just to get me delicious food @J_kelso21,0,,,
"$50 in food and $60 in liquor later, we hit the Hurricane Sandy party a day too late #sorryboutit",1,,,
"My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.",1,,,
"Food And Wine Top story: The Ultimate Hurricane Sandy Dining Guide to NYC - Hurrica… http://ny.eater.com/archives/2012/10/the_ultimate_hurricane_sandy_dining_guide_to_nyc.php …, see more http://tweetedtimes.com/The_CityOfRoses/food …",1,,,
junk food + magic mike with hurricane sandy http://instagr.am/p/RbkLi5Lhxi/ ,0,,,
"“@HuffingtonPost: WATCH: Donnie Wahlberg's home gets flooded due to Hurricane Sandy http://huff.to/XV2ZZx ” ""saving some food"" lol. Such a bro",1,,,
Because of hurricane sandy I am now pregnant..... With an enormous food baby #octomom,1,,,
I say a prayer for all those up north affected by Hurricane Sandy.. Thousands of people still have no electricity or food.. #BLESS :-(,1,,,
Healthy food to stock up during hurricane #sandy. video here http://bit.ly/freeraw ,0,,,
"""Keep Food and Family Safe During Power Outage from Hurricane Sandy"" http://bit.ly/SsaFRB  via @emaxhealth",0,,,
"Really! posting fake pictures of Hurricane Sandy, people have lost homes, jobs, relatives, and food, show some compassion, assholes!",1,,,
Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge - DailyFinance http://buff.ly/SsX8sV  | #law #jobs #firm #hiring #careers #attor…,1,,,
Good to know! RT @modernmom: No power? Find out what #food could make your #family sick! Hurricane #Sandy #safety http://mmom.me/SsPezN ,1,,,
Want to help? We're packaging natural food products & green cleaners to those affected by Hurricane Sandy http://www.facebook.com/gwellness  #shakleecares,1,,,
"WBNG: Getting Food to East Coast: Kirkwood, NY (WBNG Binghamton) Hurricane Sandy spared most of the Twin Tiers, ... http://bit.ly/T302lG ",0,,,
Hurricane Sandy: Keeping food safe if the power goes out  http://bit.ly/Sel68y  #hurricane #Sandy,0,,,
"It's truly like an apocalypse. Everyone playing neighborhood watch, sharing food. This is fucked up and I'm in the middle #hurricane #sandy",1,,,
"Price hikes for electricity, gas, food not expected in aftermath of Hurricane Sandy - http://bit.ly/T2U7gs  #Harrisburg #Pennsylvania",1,,,
Hurricane Sandy: Pre-Storm Mayhem Hits NYC Whole Foods | Daily ... http://bit.ly/YkOspb ,1,,,
"Hurricane Sandy was a bitch ass bitch, but at least the Chinese food restaurants were open! http://instagr.am/p/RbNVXih-lN/ ",1,,,
"TURN ON THE LIGHTSS. 
Look what you done do. 
Hurricane sandy cause of u I can't cook food. 
Can't piss in the dark or even watch the  news",1,,,
I guess its official ...the food in my fridge is a victim of Hurricane Sandy and tomorrow we will be cooking a... http://fb.me/K10gACo6 ,1,,,
Power Outage Food Safety: What To Toss And What To Keep http://huff.to/WVC6pp  via @HealthyLiving #hurricane #sandy #food #health #safe,0,,,
Everyone's go-to #hurricane #sandy food was bread. Am I right? http://instagr.am/p/RbLeT7j7sK/ ,1,,,
worst day to work in food business...EVER. thanks hurricane sandy.,1,,,
Hurricane sandy got me spending half of my $$$$ on food and nothing really hit tho. Waist of my time. Got a crib full of food.,1,,,
Were you affected by a power outage? @HealthyLiving tells us what food is safe to keep & what to toss: http://goo.gl/wMMWw  #Hurricane Sandy,0,,,
Going to the gym because the amount of food ive consumed because of hurricane sandy CANT be real... #YIKES ,1,,,
"I am in a shitty mood. No coffee, not hot food, no shower, no Internet other than my phone. #hurricane #sandy",1,,,
A shout out to all of the volunteers who distributed food in the midst of Hurricane Sandy yesterday!  That's some real Jesus love! Thanks!,1,,,
How To Keep Your Food Safe If Hurricane Sandy Cuts Electricity -  http://adf.ly/1jSFF ,0,,,
What was your comfort food last night? MT @momwhoruns: {blog post} Comfort Food During Hurricane Sandy http://tinyurl.com/9qyncoe  #Sandy,1,,,
Do you have bottled water and peanut butter handy? 5 Food tips for Hurricane Sandy survival http://ow.ly/eSWjO  #abcnews #naturaldisasters,0,,,
How To Keep Your Food Safe If Hurricane Sandy Cuts Electricity -,0,,,
#flood Jamaica: YB Afraid Foundation and Food For The Poor Assist Hurricane Sandy Victims in Jamaica http://bit.ly/XTWwOy  #crisismanagement,1,,,
"Text ""REDCROSS"" to 90999 2 make a $10 donation (charged to ur phone bill) to help give food & dry clothes 2 those rescued in hurricane Sandy",1,,,
"We're praying for all of you affected by Hurricane Sandy. We hope your loved ones are safe and that you all have shelter, hot food and...",0,,,
"Loving Nick Pisa over in New York reporting on Hurricane Sandy ""you can't buy any food here - a burger, pizza or donut""",1,,,
I've ate so much food because of Hurricane Sandy #fatkidprobz,1,,,
Pathetic Romney show in Ohio: collecting #cannedfood for hurricane Sandy victims. Will food drives replace #FEMA?,1,,,
"Hurricane #Sandy #Fashion Tweets Remind Us That Sweatpants, Junk Food Are Still OK (TWEETS) http://huff.to/UaKZ8v  via @HuffPostStyle",0,,,
{blog post} Comfort Food During Hurricane Sandy (or any miserable weather) http://tinyurl.com/9qyncoe  #Sandy,1,,,
"""How to keep your food safe if Hurricane Sandy cuts electricity"" - #health #family http://ow.ly/eRw3u ",0,,,
"I have no power, therefore I can't cook any food.... Hurricane Sandy: 3 Gina: 0",0,,,
"After a Power Outage: Important USDA Food Safety Guidelines and Tips: 

Hurricane Sandy tore a path through the ... http://bit.ly/YjwlQs ",1,,,
@NutritionSchool: Have you lost power due to Hurricane #Sandy? Here are some food safety tips from @joansalgeblake: http://buff.ly/W35afz ,1,,,
"Hurricane Sandy is making me feel pretty homeless right now. No food, No power",1,,,
Via @souldancing YB Afraid Foundation and Food For The Poor Assist Hurricane Sandy Victims in J... http://bit.ly/SeU2Gn  #jamaicanblogger,1,,,
@nicole_coolin I'm broke son hurricane sandy made me waste all my money on food lls,1,,,
"If anyone would like to donate any dog food, bedding, or care items for pet relief due to Hurricane Sandy, please... http://fb.me/J0aWAlLB ",1,,,
"“@HuffPostWorld: Hurricane #Sandy destroys Haitian homes, crops; food crisis feared http://huff.to/XTkGsz ” #sad",1,,,
sholoteoter: US: Food sites remain closed after Hurricane Sandy strikes (just-food),1,,,
garrisonkarl: US: Food sites remain closed after Hurricane Sandy strikes (just-food),1,,,
joesorto: US: Food sites remain closed after Hurricane Sandy strikes (just-food),1,,,
"During hurricane Sandy I found myself eating for the sake of eating.  No sweet, salty, fruity, or meaty food was safe!  Wasn't even hungry!",1,,,
Food sites stay closed after Hurricane Sandy hits http://www.just-food.com/news/food-sites-remain-closed-after-hurricane-sandy-strikes_id120991.aspx … via @just_food,1,,,
"Kitchen Blog - After a Power Outage: Important USDA Food Safety Guidelines and Tips: 

Hurricane Sandy tore a pa... http://bit.ly/XTDveZ ",1,,,
"After a Power Outage: Important USDA Food Safety Guidelines and Tips: 

Hurricane Sandy tore a path through the ... http://bit.ly/XTDuYu ",1,,,
Have you lost power due to Hurricane #Sandy? Here are some food safety tips from @joansalgeblake: http://ow.ly/eSFnV ,1,,,
Hurricane Sandy you can't ruin my Halloween Food fun... no power require Halloween themed snacks: http://www.cookingbymoonlight.com/2012/10/vampire-apples.html …,1,,,
Hurricane Activity: Plan Your Thanksgiving Feast: I'm stuck inside due to Hurricane Sandy and while I love... http://bit.ly/SeL3oz  #food,1,,,
Oatmeal with bananas and brown sugar. No shortage of  delicious food during this hurricane :) #sandy http://instagr.am/p/Ragu2GJlGP/ ,0,,,
"Prayers go out to all effected by Hurricane Sandy. We hope you all find safety, shelter, food & quick recovery of anything lost! 
BBC Fam",1,,,
Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge: As many as 10 million people could lose power this... http://aol.it/V51OqI ,0,,,
"Hurricane Sandy can't keep us from closing! We are OPEN, ready to serve you delicious food. Come stop by!",1,,,
"Joke of the Millenium : Terrorist Hafiz Saeed offers aid to Hurricane Sandy victims

“We are ready to send food... http://fb.me/1ZJr45szw ",1,,,
How long is food safe if you lose power? http://bit.ly/YfFkSU  #Hurricane #Sandy,1,,,
"US: Food sites remain closed after Hurricane Sandy strikes: Food manufacturers in the US, including Hershey and ... http://bit.ly/T16klC ",1,,,
US: Food sites remain closed after Hurricane Sandy strikes http://bit.ly/T16klC ,1,,,
"Food News - US: Food sites remain closed after Hurricane Sandy strikes: Food manufacturers in the US, including ... http://bit.ly/T16klC ",1,,,
"US: Food sites remain closed after Hurricane Sandy strikes: Food manufacturers in the US, including Hershey and ... http://bit.ly/XTmphx ",1,,,
"Jamaica: YB Afraid Foundation and Food For The Poor Assist Hurricane Sandy Victims in Jamaica: 
      Source: 
 ... http://bit.ly/SezZb6 ",1,,,
"Financial donations help the Red Cross provide shelter, food and other assistance to those affected by disasters like Hurricane Sandy.",1,,,
Keep Food and Family Safe During Power Outage from Hurricane Sandy http://bit.ly/YjjAWa ,0,,,
Jamaica: YB Afraid Foundation and Food For The Poor Assist Hurricane Sandy Victims in Jamaica http://bit.ly/V57W2u ,1,,,
"Hurricane Sandy: New York City chefs, restaurateurs and...: New York City chefs, restaurateurs and food critics ... http://bit.ly/SewNvZ ",1,,,
"(#Food Article) Hurricane Sandy: New York City chefs, restaurateurs and...: New York City chefs,... http://bit.ly/SewNvZ  #TeamFollowBack",1,,,
"Hurricane Sandy: New York City chefs, restaurateurs and...: New York City chefs, restaurateurs and food critics ... http://bigfork.co/XTiGQS ",1,,,
New: Food Safety: Power Outages and Hurricane Sandy http://bit.ly/T11Zil  #food #recipes,1,,,
New: Food Safety: Power Outages and Hurricane Sandy http://bit.ly/T11Zil  #recipe #cooking,1,,,
@Interplas Hurricane #Sandy Power Outage Food Storage tip If you have empty space fill freezer-proof #Zip-loc #bags http://www.interplas.com/ziplock-bags ,1,,,
"US: Food sites remain closed after Hurricane Sandy strikes: Food manufacturers in the US, including Hershey and ... http://adf.ly/EBngh ",1,,,
"US: Food sites remain closed after Hurricane Sandy strikes: Food manufacturers in the US, including Hershey and ... http://bit.ly/W2N3q3 ",1,,,
"FIRST, financial crisis, soft economy. then drought in the Midwest, food crisis? Then Hurricane Sandy: how will the us economy take the hit?",1,,,
Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge: As many as 10 million people could lose power this... http://aol.it/T0ZgWp ,0,,,
Daily Finance: Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge: As many as 10 mil... http://aol.it/XTf6Gn  #Investing #Money,1,,,
The Great Depression with no food or a the food shelves of my local Wawa today after Hurricane Sandy. http://fb.me/2j0Z66srS ,1,,,
"The calories consumed drinking alcohol, eating hangover food and hurricane sandy snacks is depressing .. Starvation diet starts today ",1,,,
Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge: As many as 10 million people… http://goo.gl/fb/Vf1u1 ,0,,,
"come down to @hogpit1 for wifi, power, food & beer. and @daveblend and i. #hurricane #sandy",1,,,
Food Safety: Tips if Hurricane Sandy Knocked Out Your Fridge: As many as 10 million people coul... http://aol.it/V51OqI  #walletpop #blog,0,,,
#food Hurricane Chocolate Muffins: I made these during hurricane Sandy to keep us warm! Easy to use thin... http://bit.ly/XT0WoU  #health,1,,,
At Dunkin Donuts to warm up and charge my phone and eat hot food. #hurricane #sandy #dunkindonuts,1,,,
No food to take pics of today except maybe some rotting food in our fridge thanks to Hurricane Sandy :( #takingpicturesoffood,1,,,
news: hurricane sandy is coming!!! have food and water ready for the next 72 hrs. following day: *2 mm of rainfall*,1,,,
