text,label,,,
" & :  US eastcoast had a historic blizzard.18 people died, incl a good samaritan who was shot trying to help a man w his stalled car",1,,,
 brixcitygurl: CAN YOU FIND THE CAR? #blizzard 2016 1/24/16 #snow #weather #snowmageddon #snowday #cold... http://tmblr.co/ZQapGy20iLc2Q ,1,,,
 Snow blizzard in NY ! It took us a week to get our car out . Fun times in the city :) http://tmblr.co/ZulQai20vmql5 ,1,,,
 Snow Painting  Spray bottle with a few drops of food coloring makes for some post blizzard… https://www.instagram.com/p/BBAtnBoR3H5/ ,1,,,
 Stony Brook Medicine residents covering the university hospital and Northport VA during the blizzard! http://tmblr.co/ZR86Xy20VKqPm ,1,,,
" Surviving Winter Storm Jonas. Guess how many times I had to dig out my car during the blizzard. Also,... http://tmblr.co/ZfLMEq20yGQgQ ",1,,,
 that guy just left his car in the road and said f*ck I'm walking lmao #CNN #blizzard ,1,,,
" theonion: Grocery stores will quickly sell out of food during a blizzard, so be sure to stock up on... http://tmblr.co/Z7AU8w20X1gNv ",1,,,
" theonion: Grocery stores will quickly sell out of food during a blizzard, so be sure to stock up on... http://tmblr.co/Za2DQx20VEp4z ",1,,,
" theonion: Grocery stores will quickly sell out of food during a blizzard, so be sure to stock up on... http://tmblr.co/Zf_mzx20NnpNC ",1,,,
 your good at softball! Your really pretty and fun to be around! Your car,0,,,
"- gourmet foods is lit, hope you're safe in this blizzard glad we got closer this year. You're ",1,,,
"!! DURING THE COLD BLIZZARD, A GIRL WAS OUT, TRYING TO SHOVEL THE SNOW OFF HER CAR, BUT SUDDENLY, THE MAFIA SNUCK UP BEHIND HER, +",1,,,
!!! NEW NEW NEW !!!ENG Portals - Storm Jonas: Why a looming blizzard makes us think we can eat all the junk food... http://fb.me/JV4QWqsl ,1,,,
". @reginathorn Next blizzard, I want more time to chill, make yummy food, and hang out! Have enjoyed the workouts but was not very relaxed!!",1,,,
.. make a quick stop and gather somethings in order to prepare for this blizzard. I was there for about 30 mins contemplating life and food.,1,,,
"... Kinda glad this blizzard is coming, parents went crazy and stocked the house with food!",1,,,
...blizzard. So imagine the amount of time it'll take to walk in this shit. Then my manager is inconsiderate cuz she has a ride from the..,1,,,
"...but I'm running out of food and resources. And it's pretty much isolated. Also, blizzards occupy the place so much. Should leave soon...",1,,,
"...Like ""A blizzard is coming!"" ""Okay! I'm going to get my eyebrows done and wash my car.""",1,,,
...Thankful for all the Chinese food spots delivering during this Blizzard! The REAL MVP's Lol #blizzard2016,0,,,
.@CBSNews just quoted a DC-area woman concerned because her Whole Foods was out of organic carrots. THE BLIZZARD SUFFERING IS ALREADY REAL!,1,,,
.@IAAPAHQ is closed today. We’d rather “Blizzard” be the name of a new ride...123 days until Memorial Day weekend! pic.twitter.com/C4pbVMqKCI,1,,,
.@JeffSpeckAICP @SeanBlanda @anobleDC @classicyuppie last year car was vandalised after blizzard while in active MS flare. Know how I feel.,1,,,
".@kanawhaus @jaredwv @jeff_billings Get a wool blanket from a military surplus store! Part of my ""stranded in a Wyoming blizzard"" car kit.",1,,,
.@NYCMayorsOffice: alt. side parking is canceled all week - DO NOT move car &/or put snow back on the street :) #snow #nyc #jonas #blizzard,1,,,
.@RushMillerFound on #Periscope: #Ski behind the car in #blizzard #Colorado https://www.pscp.tv/w/aYA7TTEzMTkwNzY1fDFtbnhlYk9iT3BRS1jMCYJKG-rH4OXpZbUmBwVUieMWLtueC3ldxNva1PqPTg== …,1,,,
.@RXBAR ready for #jonas2016.  Blizzard food. pic.twitter.com/g3FdinlrbK,1,,,
.@wmata announcing residents who parked cars in Metro garages during blizzard will have an extra day of free parking.,1,,,
".@wmata warns riders fewer Metro cars available due to blizzard, so avoid rush hours: 7:30-9:00 a.m. & 4-6:30 p.m. @CQnow",1,,,
'Several Days' Needed For Blizzard Clean-Up: New York City residents are urged to leave their snow encased car... http://bit.ly/1lKSoA9 ,0,,,
'Several Days' Needed For Blizzard Clean-Up: New York City residents are urged to leave their snow encased car... http://bit.ly/1PwKFU2 ,0,,,
'Several Days' Needed For Blizzard Clean-Up: New York City residents are urged to leave their snow encased car... http://bit.ly/1QvY4L9 ,0,,,
'Several Days' Needed For Blizzard Clean-Up: New York City residents are urged to leave their snow encased cars where they are all we...,1,,,
"► The Latest: Cars in standstill amid snow, wind in Kentucky: WASHINGTON (AP) — The latest on the blizzard sla... http://yhoo.it/1lECWWe ",1,,,
❥BLIZZARD in NEW YORK CITY ❥Transform into an Emergency Vehicle ➢ Switch Bike for Snowboarding Down to 5 Avenue… pic.twitter.com/h59KIkSJkt,1,,,
""" @USATODAYhealth:

Afraid of losing power during the blizzard? How to keep food safe. http://usat.ly/1VeAO3A  pic.twitter.com/h0xjJszAwU """,1,,,
""" Day 1 of the Blizzard: I have already ate half of the food that I bought for the storm. I'm not going to make it.""  #truestory",1,,,
"""@BicyclesOnly: After the blizzard, New Yorkers call bullshit on prioritizing cars
http://brokelyn.com/dig-me-out-bury-your-cars/ …""",1,,,
"""are u sure u cant take a shift?"" there is a blizzard going on and i ride a bike to work so yea im sure",1,,,
"""Brave Car Says Enough Of This Blizzard, Catches Fire"" http://jalopnik.com/brave-car-says-enough-of-this-blizzard-catches-fire-1754715716 … #gawker #feedly",1,,,
"""DC areas first blizzard brings plenty of food and drinks specials"" via @metroweekly CC @LHommageDC @txjacksbarbecue http://ow.ly/XntWn ",1,,,
"""Did you lose power during the blizzard? How to tell if your food is safe"" http://www.usatoday.com/story/news/2016/01/22/did-you-lose-power-during-blizzard-how-tell-if-your-food-safe/79182500/ … missed us, but hitting many",1,,,
"""Ford Testing New Driverless Cars in Blizzard Conditions Using 3D Imaging and LiDar"" http://ift.tt/1OufGnZ , #3DP… http://ift.tt/1geH8VM ",1,,,
