id,text,type
1.2767694009940419e+18,"#Delhi
Need #Blood Type :  O-positive
At : Sir Gangaram 
Blood Component : Need Plasma O+ve from #COVID19 recovered patient.
Primary Number : 9891044387
Secondary Number : 9910226775
Patient : Sarbjit Singh
Via: @Sunnypab
#BloodMatters
Powered by Twitter https://t.co/jAwiWHd7w3",0
1.276813433489539e+18,"#Delhi
Need #Blood Type :  A-positive
At : Jaipur Golden, Rohini
Blood Component : Need Plasma A+ve from #COVID19 recovered patient.
Number of Units : 2
Primary Number : 9899953133
Secondary Number : 9999551603, 9873691079 
Via: @BloodDonorsIn
#BloodMatters
Powered by Twitter https://t.co/sTVV7a95l4",0
1.276753717975552e+18,"#Gurugram
Need #Blood Type :  AB-positive
At : Medanta 
Blood Component : Need Plasma AB+ve/AB-ve from #COVID19 recovered patient.
Primary Number : 9650224225
Via: @aroraneerajk
#BloodMatters
Powered by Twitter https://t.co/vz6SnxUa1Y",0
1.2767513124373463e+18,"#Delhi
Need #Blood Type :  A-positive
At : Gangaram City hospital
Blood Component : Need Plasma A+ve from #COVID19 recovered patient.
Primary Number : 9999219098
Via: @abhilasha1508
#BloodMatters
Powered by Twitter https://t.co/0d8RNcl82T",0
1.2768041093754675e+18,"#Delhi
Need #Blood Type :  A-positive
At : Max Saket
Blood Component : Need Plasma A+ve/A-ve/AB+ve/AB-ve from #COVID19 recovered patient.
Number of Units : 2
Primary Number : 9810644162
Secondary Number : 9810644162
Via: @itriptibabbar
#BloodMatters
Powered by Twitter https://t.co/ql4LkhEdTu",0
1.2767546629101978e+18,"#Faridabad
Need #Blood Type :  B-positive
At : Asian Hospital
Blood Component : Need Plasma B+ve from #COVID19 recovered patient.
Primary Number : 9717055001
Secondary Number : 9810305651
Via: @SociallyBlog
#BloodMatters
Powered by Twitter https://t.co/jQ60m6KS6Z",0
1.276767428471599e+18,"#Delhi
Need #Blood Type :  B-positive
At : Maharaja Agrasen, Punjabi Bagh
Blood Component : Need Plasma B+ve from #COVID19 recovered patient.
Primary Number : 7011712695
Patient : Rampalat 
Via: @Iam_GIRIJESH
#BloodMatters
Powered by Twitter https://t.co/gwnf8KcHO2",0
1.2767532126709064e+18,"#Delhi
Need #Blood Type :  A-positive
At : Sir Gangaram
Blood Component : Need Plasma A+ve from #COVID19 recovered patient.
Primary Number : 9873322741
Via: @jeasbe
#BloodMatters
Powered by Twitter https://t.co/AjQ127w4dW",0
1.2767492620391956e+18,"#Delhi
Need #Blood Type :  A-positive
At : Sir Gangaram
Blood Component : Need Plasma A+ve from #COVID19 recovered patient.
Number of Units : 2
Primary Number : 9654247705
Secondary Number : 83739297720
Via: @ForeverFilmyy 
#BloodMatters
Powered by Twitter https://t.co/7NAYPp7sXI",0
1.276584940814037e+18,"Urgent for a friend 's father
HELP

Mr. Harish Segon 

76 years old /male

Blood group = A+ve

Diagnosed with covid 19 with pneumonia

Admitted in Max Saket Hospital, New Delhi

Need a plasma donor who recovered from covid by a month ago

Contact: +91 9971862000.",0
