,text,type,dataset
0,"8,000 Tarpaulin Sheets Distributed in Makwanpur: Kathmandu, May 2: The earthquake victims in Makwanpur distric... http://t.co/VLIP0XoUF8",1,Nepal Earthquake
1,Italy has reacted with unprecedented solidarity to the earthquake. Too many people reached the concerned areas and too much food was donated,1,Italy Earthquake
2,"@USEmbassyNepal Earthquake Nepal  No rescue team has seen ppl at the epicenter,monsoons dieing no food, shelter, water Laprak flattened RT",0,Nepal Earthquake
3,Help Earthquake Victims: Jamaat-e-Islami Hind appeals http://t.co/suIiIAqNde,2,Nepal Earthquake
4,"Earthquake in Italy &amp; tornadoes in Indiana, Ohio &amp; southern Ontario. 😔💗🌎 Love support &amp; prayers to all dealing with the aftermath.",2,Italy Earthquake
5,"Day 5: Earthquake humanitarian aid
Distribution of Blankets to cold village of Nagarkot http://t.co/5y2gZ902Ag",1,Nepal Earthquake
6,Antigen tests will be done soon in #Rajasthan to test #Covid19  cases says CM @ashokgehlot51,2,Covid-19
7,"RT @BuRrNInG_sOuL: Plz provide medicine ,blood,food,clean water,shelter and moral support to people of #Nepal
#NepalEarthquake",0,Nepal Earthquake
8,#Delhi's #Covid19 graph 4 past 10 days\nDt/ New Cases/Deaths/Recoveries\n\n2606: 3460/63/2326\n2506: 3390/64/3328\n2406: 3788/64/2124\n2306: 3947/68/2711\n2206: 2909/55/3589\n2106: 3000/63/1719\n2006: 3630/77/7725\n1906: 3137/66/1828\n1806: 2877/65/3884\n1706: 2414/67/510\u00a0\n\n#Coronavirus,2,Covid-19
9,"Italy earthquake leads to open-air mortuaries, rescue teams running out of body bags,as looting spreads  https://t.co/HUArBf913e",0,Italy Earthquake
10,"Central team to visit Gujarat, Maharashtra, Telangana to boost efforts to manage #COVID19 \n\nRead More: https://t.co/eucScNsKA2 https://t.co/usTDbi1u6g",2,Covid-19
11,#grgadventure donating our tents and sleepig bags for victims of the #nepal #earthquake https://t.co/Pqdp1JWsgh,1,Nepal Earthquake
12,"#COVID19 #Gujarat : 580 new cases and 18 deaths reported today. \n\nTotal number of cases: 30,158\nTotal deaths: 1,772\n\nTests done today: 5901",2,Covid-19
13,"RT @elephantjournal Nepal Earthquake: In the Face of Horror, There’s Hope. http://t.co/GlNuOeZU7F",2,Nepal Earthquake
14,"RT @AAPYouthwing: #Delhi Govt has decided to send 25,000 packets of food &amp; 25,000 pouches of drinking water as relief for the people of ear…",1,Nepal Earthquake
15,Guru Gorakh Company of NA distributing tarpaulins to earthquake victims in Gulmi.,1,Nepal Earthquake
16,#Italy’s Jewish community pledges aid to areas hit by #earthquake; Have set up blood donation center @ZOA_National  https://t.co/0h2vB91IcR,1,Italy Earthquake
17,"we are deprived of homes 
&amp; are on street and basecamps
many are injured
no foods 
no water
#prayfornepal earthquake http://t.co/wBTI6M2VCD",0,Nepal Earthquake
18,"Nepal needs drinking water and fuel , food. hope India takes care. @Pmoindia",0,Nepal Earthquake
19,Nepal earthquake tragedy exposes Soul Vultures http://t.co/jSY1JlLKSz Where is the outrage from TV channels,2,Nepal Earthquake
20,"Actions does more than thoughts or prayers! Like donating blood, food, water and shelter. #ItalyEarthquake #Italy #Earthquake",1,Italy Earthquake
21,The students are impressed! Innovation is needed in these testing #COVID19 times as many students cannot afford a smartphone or an internet connection. https://t.co/glIrizxTsQ,2,Covid-19
22,"Literally, I don\u2019t understand why this government #AYUSHMinistry didn\u2019t approve #BabaRamdev #Coronil #COVID19 medicine yet. If someone is trying help #IndianGovernment then why they do not allow them to fix this issue. You could not provide ventilator to 130 crore @narendramodi",2,Covid-19
23,"DONATE BLOOD - HELP NEPAL

Blood donation going on at Nivedita Multispeciality Hospital in Pradhan Nagar,... http://t.co/RVdcvxw7r1",0,Nepal Earthquake
24,"#AT_T, #T_Mobile, and Verizon waive fees following #earthquake in #Italy https://t.co/vYWQ6fKRpY",1,Italy Earthquake
25,Respect to all MPs who have donated thir salaries to the Nepal Earthquake including the PM. #NepalEarthquake,2,Nepal Earthquake
26,"AYON is mobilizing support for #earthquake victims - urgent need of doctors, food supply, water purifier &amp; tent,... http://t.co/pUJvTuGssH",0,Nepal Earthquake
27,"Italy earthquake leads to open-air mortuaries, rescue teams running out of body bags,as looting spreads  https://t.co/HUArBf913e",0,Italy Earthquake
28,Please open your WIFI to allow better communication in earthquake zones. https://t.co/dC03PC9UYY,0,Italy Earthquake
29,"Constant thinking without any work would cause #Anxiety/ #depression. The discussion of good ideas &amp; the company of good people can get rid of it. Keep yourself as busy as possible in #COVID19, will further help to lower chances of #domesticviolence.\n@HRDMinistry\n@UNHumanRights",2,Covid-19
30,"RT @crabblers: #Earthquake epicenters: First one right under the Nissan Plant property, second due west of that location. The maps: http://…",2,Nepal Earthquake
31,With yesterday's devastating #earthquake in #Italy it's time to get serious about preparedness. #FutureNowVancouver https://t.co/gc5HPpVADc,2,Italy Earthquake
32,RT @srilankaglobal: #SriLanka #Army #Navy #AirForce and civil #Medical team sent to #Kathmandu #Nepal for #earthquake relief on Sunday. htt…,1,Nepal Earthquake
